name_en,name_mr,category
Just pretense - no real deal / show off,दिखाऊपणा,A
Bad communication,विसंवाद,A
Inability in prioritization,प्राधान्य न ठरवता येणे,A
Unwillingness and inability to scale up,महत्त्वाकांक्षेचा व क्षमतेचा अभाव,A
No clarity,वैचारिक स्पष्टतेचा अभाव,A
Lack of adaptability,अनुकूलन क्षमता नसणे,A
Continuous wrong estimation of the self,सतत चुकीची स्व प्रतिमा तयार होणे / आत्मग्लानी,A
Isolationist behavior,माणूसघाणेपणा,A
Inability to differentiate immediate goals from intermediate goals - giving more importance to short-term gains than long-term consequences,तात्कालीन उद्दिष्टे व अंतिम उद्दिष्टांमध्ये फरक न करता येणे - दीर्घकालीन परिणामांपेक्षा लगेचच्या फायद्यांना अधिक महत्त्व देणे,A
Lack of self-respect,स्वाभिमान शून्यता,A
Unable to follow somebody,दुसऱ्याचे का ऐकायचे हे कधीच न समजणे,A
Less sensitivity / empathy,असंवेदनशीलता,B
Little continuity in efforts,सातत्याचा अभाव,B
Minimal multi-tasking,अनेक अवधाने न सांभाळता येणे,B
Over laziness,आळस,B
Little confidence,आत्मविश्वास नसणे,B
Over-dependence,परावलंबित्व,B
Fear of failure,अपयशाची भीती,B
Inability to say and/or accept “No”,नकार पचवणे / देणे याची क्षमता नसणे,B
Being too transactional,अति व्यवहारी असणे,B
Insecurity,असुरक्षिततेची भावना,B
Not being aware of social debt,समाजऋणांची जाणीव नसणे,B
Comforting in continuation of old,जुने चालू ठेवण्यात समाधानी असणे,B
Ineffectiveness,अकार्यक्षमता,C
Less sustenance of enthusiasm,उत्साह न टिकणे,C
Patchy emotion-management,भावनिक कुव्यवस्थापन,C
Impatience,संयम नसणे,C
Tendency to avoid conflict,संघर्ष टाळण्याची वृत्ती,C
Self-centredness,आत्मकेंद्रितता,C
Inability to differentiate between weakness of a person and the person herself,दुर्गुण आणि व्यक्तींमध्ये फरक न करता येणे,C
Imbalance in employing strengths,स्वतःचे गुण समतोलपणे वापरता न येणे,C
Indecisiveness,निर्णयअक्षमता,C
Defeated mindset,पराभूत मानसिकता,C
Unappreciative nature,इतरांचे गुण स्वीकारता न येणे,C
Little self-reflection,"स्वतःमध्ये डोकवायला न जमणे, उपासना न जमणे",C
