text_en,text_mr,subvirtue_name_en
My thinking is strictly positive.,माझा विचार सकारात्मकच असतो ,Intellectual Self-reliance
I have my own opinion ready on any matter.,कोणत्याही गोष्टीबद्दल माझे स्वतःचे मत तयार असते. ,Intellectual Self-reliance
"I can publicly present an opinion which may be not align with others' views, in a way that convinces everyone.",इतरांपेक्षा वेगळे मत सर्वांसमोर त्यांना पटेल अशा पद्धतीने मांडू शकतो. ,Intellectual Self-reliance
My opinions are well thought out.,माझ्या विचारांवर/मतांवर माझा पूर्ण विचार झालेला असतो. ,Intellectual Self-reliance
I ask questions on newly received information.,नवीन मिळालेल्या माहितीवर प्रश्न मांडतो. ,Intellectual Self-reliance
I form my opinion by first considering others' views and then independently constructing my own.,माझे मत इतरांच्या मतांचा विचार करून मग स्वत: बनवलेले असे असते.,Intellectual Self-reliance
I can easily express my opinion in a group.,गटामध्ये आपले मत सहजपणे मांडतो.,Intellectual Self-reliance
I can summarize what the other person is saying in my own words.,समोरच्या व्यक्तीच्या बोलण्याचा सारांश स्वतःच्या शब्दात मांडता येतो. ,Intellectual Self-reliance
I do not need to undertake much mental effort to think independently about any matter.,मला कोणत्याही गोष्टींचा स्वतःचा विचार करायला जास्त मानसिक शक्ती लागत नाही.,Intellectual Self-reliance
"I accept the thoughts, of those whom I consider as role models, after making changes that I find necessary after critically examining them.",मी ज्यांना आदर्श मानतो अशांचे विचार मी त्यात मला आवश्यक वाटणारे बदल चिकित्सेने करून स्वीकारतो.,Intellectual Self-reliance
"I can present my point publicly in front of everyone, whether they are small or big personalities.",मला माझा मुद्दा सगळ्या लोकांसमोर / कितीही छोट्या अथवा मोठ्या व्यक्तीसमोर मांडता येतो. ,Intellectual Self-reliance
"I test whether a person is working out of own inspiration / volition or under the influence of someone. I often trace such chains of inspiration, if the inspiration has come externally from someone else.",एखादा माणूस कोणत्या प्रेरणेने किंवा कोणाच्या सांगण्याने काम करत असेल हे मी तपासतो. अशी प्रेरणांची परंपरा पाहणेही मी नेहमी करतो.,Attitude of finding root causes
It is important for me to find satisfactory reasoning behind any event.,कोणत्याही घटनेची समाधानकारक कारणे मिळणे मला महत्त्वाचे वाटते. .,Attitude of finding root causes
I check whether I can independently verify someone's statement.,एखाद्या व्यक्तीचे म्हणणे मी स्वतंत्रपणे तपासता येते का असे पाहतो,Attitude of finding root causes
"I check whether there are any similarities in the causes behind different events, even if such events pertain to totally different fields.","कोणत्याही क्षेत्रामध्ये घटना घडली असली, तरी त्या घटनेमागील कारणांमध्ये काही समानता आहे का हे मी तपासतो.",Attitude of finding root causes
I examine whether the desired outcome is achieved through my actions or if I am simply satisfied with having done something.,आपल्याला जो परिणाम आपल्या कृतींमुळे व्हायला हवा आहे तो होतो आहे की फक्त काही तरी केल्याचे समाधान मिळते आहे हे मी तपासतो.,Attitude of finding root causes
"Even if the expected result is achieved, I check whether it was by coincidence or because of my actions.",अपेक्षित परिणाम साधला गेला तरी तो योगायोगाने साधला की आपल्या कामामुळे साधला गेला हे पण मी तपासतो.,Attitude of finding root causes
I try to earn money on my own.,स्वतः पैसे कमवण्यासाठी प्रयत्न करतो.,Financial Self-reliance
"I have knowledge about how the family's, organization's, or country's financial transactions work and what the current situation is.",कुटुंबाचा / संस्था - कंपन्या अथवा देशाचा आर्थिक व्यवहार कसा चालतो व सध्याची स्थिती काय ह्याबद्दल मला माहिती असते. ,Financial Self-reliance
I regularly maintain an income-expenditure record., खर्चाचा ताळे-बंद नियमित ठेवतो.,Financial Self-reliance
I participate in family financial decisions or independently make thoughtful decisions as per needs,गरजेप्रमाणे घरातील आर्थिक निर्णयांमध्ये सहभागी होतो/एकटा विचारपूर्वक निर्णय घेऊ शकतो.,Financial Self-reliance
I raise money for public works.,सार्वजनिक कामांसाठी पैसा उभा करतो,Financial Self-reliance
I think of ways to earn money and take initiatives accordingly.,स्वतः पैसे कसे कमवायचे याचा विचार व उपक्रम करतो ,Financial Self-reliance
I am genuinely willing to acquire new skills.,नवनवीन कौशल्य आत्मसात करण्याची मनापासून तयारी असते. ,Skills-based Self-reliance
I can take help from different people in work and help others in their work.,मला वेगवेगळ्या व्यक्तींची कामात मदत घेणे व कोणालाही त्यांच्या कामात मदत करणे जमते.,Skills-based Self-reliance
I accept change with confidence and enthusiasm rather than fear. I am not afraid of failure while setting up experiments.,मी भीतीऐवजी आत्मविश्वासाने व उत्साहाने बदल स्वीकारतो. असा प्रयोग फसेल अशी मला भीती वाटत नाही.,Skills-based Self-reliance
"Whenever possible, I effectively use technical skills in daily life.",शक्य असेल तेव्हा तांत्रिक कौशल्याचा दैनंदिन आयुष्यात प्रभावीपणे उपयोग करता येतो. ,Skills-based Self-reliance
