sentence_text_en,title,description,duration_days,weakness_names
"If my friends are sitting in leisure, I take them with me to do some new job.",The 100-Day No-Leisure Pact,"For 100 consecutive days, every time you find yourself or a friend in leisure (scrolling, aimless sitting, binge-watching without intention) — you must immediately initiate a value activity within 3 minutes. Keep a physical log titled Activation Record: date, who was idle, what you started, outcome. If you fail to initiate within 3 minutes, the day counts as a loss. Target: 80 wins out of 100.",100,Defeated mindset
"If my friends are sitting in leisure, I take them with me to do some new job.",Host 50 Strangers in 60 Days,"Over 60 days, run a Thought Exchange series — every weekend, host 4-6 people who do not know each other, from completely different backgrounds (age, profession, city, belief). Facilitate a structured 90-minute conversation ending in each person committing to one action by next week. Track whether they complete it. At the end of 60 days, you will have activated 50 strangers personally.",60,Defeated mindset
"If my friends are sitting in leisure, I take them with me to do some new job.",The Zero-Budget City Project,"Within 90 days, ideate, recruit, launch, and complete one city-level project that solves a visible problem using zero money — only skills, time, and people. You must recruit a team of at least 8 people, all strangers at the start. Examples: a neighbourhood clean-up with citizen journalism documentation, a free skill-share market, a fix-it day for local public infrastructure. No crowdfunding, no sponsorship.",90,Defeated mindset
"If my friends are sitting in leisure, I take them with me to do some new job.",The 60-Day Skill Monsoon,"For 60 days, learn and publicly demonstrate a new skill every 10 days — 6 skills total. Demonstrate means performing or applying it in front of at least 5 real people (not just posting online). Skills can be anything: repair, craft, debate, cooking, coding, drawing, language. Each demonstration must include pulling in at least 2 previously idle friends to participate.",60,Defeated mindset
"If my friends are sitting in leisure, I take them with me to do some new job.",Franchise Your Initiative,"Over 3 months, teach 5 different people — one per week in rotating weeks — your exact method of initiating action. Give them a 1-page initiative protocol you design yourself. Track whether they successfully start something within 7 days of your session. By month 3, you should have 5 people who have independently started projects using your system.",90,Defeated mindset
"If my friends are sitting in leisure, I take them with me to do some new job.",The 90-Day Disappearing Act Reversal,"Identify 3 projects, communities, or groups in your life that have gone dormant — a WhatsApp group with great potential, a college club, a neighbourhood initiative, a creative collaboration. Over 90 days, single-handedly revive all 3. Each revival must result in at least 2 real-world meetings and 1 tangible output per group. Document the revival process and present it at the end as a public case study.",90,Defeated mindset
I can easily elaborate about anything I did in last three months and reasons thereof.,The 90-Day Retrospective Embargo and Forward Blitz,"For 90 consecutive days, enforce a complete embargo on all unsolicited elaboration about your past. In every interaction, your only mode is forward initiation. Carry a Flip Log — every elaboration impulse becomes a tally mark and a 24-hour action commitment. Once per week for 12 weeks, host a Forward-Only Gathering of at least 4 people — never the same group twice — where the only topic is what each person is starting in the next 7 days. By Day 90: 60+ successful Flip Log conversions, 12 Forward-Only Gatherings hosted, 3 new projects launched that were never part of your pre-challenge story repertoire, and a 1-page public case study posted — written entirely in present tense.",90,Defeated mindset
I don't wait for someone to assign me me some tasks.,The 90-Day Zero-Wait Protocol,"For 90 consecutive days, you operate under one non-negotiable rule: you may never begin your day by waiting for a task to be assigned to you. Before engaging with any instruction, message, or direction from anyone else, you must identify and begin at least one self-assigned task. Carry a Zero-Wait Log — a physical notebook. Every self-assigned task is entered with date, context, task description, and completion status. A day where you only completed assigned work with no self-initiated task counts as a loss. Target by Day 90: 70 or more logged self-assigned tasks completed, at least 3 group-level initiatives that you started and ran without being asked, and 1 project that went from your own observation of a problem to a real-world completed output with zero external prompting. Post the Zero-Wait Log summary publicly on LinkedIn on Day 90.",90,Defeated mindset
I contemplate and contextualize my place in the order of the world and try to accept all others' place in my life too.,The 90-Day Concentric Circles Map,"On Day 1, draw by hand a large circle on a blank A3 sheet. Inside it, place yourself as a dot at the centre. For 90 consecutive days, every single evening you must add exactly one element to this map — a person, a force, an institution, a living being, a historical event, or a cosmic fact — that belongs in the order of the world that contains you, with a handwritten line connecting it to you and a 10-word label describing the nature of that connection. You cannot repeat any element. You cannot add an element you are entirely comfortable with — every addition must represent something or someone whose place in your world you are currently working to accept. By Day 90, your map must contain 90 elements across at least 6 categories: people you love, people you resent, strangers, institutions, natural forces, and historical/cosmic facts. On Day 45, identify the 3 elements on your map you most want to erase — instead draw a second thicker connection line to each of those 3. On Day 90, display the completed map in a common area of your home for 7 days without explanation.",90,Little self-reflection
"I set aside dedicated time daily for practices like meditation, prayer, or self-reflection",The 75-Day Upasana Institution,"Design and personally run a 75-day daily Upasana program for a group of 8-12 people in your local community. You must lead the session yourself every single day at the SAME time (your choice — but once set, it cannot change). The session must be minimum 20 minutes and include: 5 minutes of silence, 10 minutes of a self-reflection prompt you write fresh every day, and 5 minutes where each participant shares ONE word. You cannot use any pre-written scripts, apps, or guided audio from external sources. Every prompt must come from your own daily self-reflection. You may NOT miss a single day. If a participant drops out, recruit a replacement within 24 hours. If YOU are sick or traveling, the session happens via a phone call with all members. On Day 75, each participant must write a one-page letter to themselves about how their self-awareness has changed. You must write yours first and read it aloud to the group.",75,Little self-reflection
"At the end of the day, I reflect on my actions and their outcomes to understand and improve myself",The 60-Day Behavioral Verdict Ledger,"For 60 consecutive days, maintain a physical handwritten ledger structured exactly like a financial accounts book with two columns: DEBIT and CREDIT. Every night before 11 PM, enter a minimum of 3 and maximum of 5 entries. DEBIT column: actions you took today that moved you further from the person you intend to be — with the specific outcome each action produced. CREDIT column: actions you took today that moved you closer to that person — with the specific outcome each produced. Every entry must name a real person affected, a real time, and a measurable or observable outcome. Abstract entries are forbidden. Every 15 days, calculate your behavioral balance — do your CREDIT entries outnumber and outweigh your DEBIT entries? If DEBITS exceed CREDITS in any 15-day window, you must perform a visible corrective action the following day and record it as an opening CREDIT entry. On Day 60, hand the ledger to one person who knows you well. Ask them to read it in full and tell you: 'Does the person in this ledger match the person I know?'",60,Little self-reflection
