name_en,name_mr,virtue_name_en
Intellectual Self-reliance,वैचारिक स्वावलंबन,Self-reliance
Attitude of finding root causes,मुळातून शोध घेण्याची वृत्ती,Self-reliance
Financial Self-reliance,आर्थिक स्वावलंबन,Self-reliance
Skills-based Self-reliance,कौशल्य स्वावलंबन,Self-reliance
Emotional Self-reliance,भावनिक स्वावलंबन,Self-reliance
Composure during execution,कार्यवाहीच्या वेळी निश्चळता,Self-reliance
Physical Self-reliance,शारीरिक स्वावलंबन,Self-reliance
Communication skills,संवादकौशल्य,Leadership
Responsibility and Ownership,उत्तरदायित्व,Leadership
Organization orientation,संघटनाभिमुखता,Leadership
Team building skills,गटबांधणी,Leadership
Planning skills,नियोजन कौशल्य,Entrepreneurship
Execution skills,कार्यवाही कौशल्य,Entrepreneurship
Resourcefulness,हिकमतीपणा,Entrepreneurship
Spontaneity/Initiative,उत्स्फूर्तीसंपन्नता,Entrepreneurship
Multi-tasking ability,अष्टावधानीपण,Entrepreneurship
Innovation,नाविन्य,Entrepreneurship
Creativity,प्रतिभा,Entrepreneurship
Ambition/Grandeur,"महत्त्वाकांक्षा/भव्यता",Entrepreneurship
Intolerance of injustice,अन्यायाची चीड,Righteous Conflict
Protecting social welfare,समाजहित जपणे,Righteous Conflict
Determination,निर्धारशक्ति,Righteous Conflict
Goal orientation,ध्येयाभिमुखता,Goal Orientedness
Future planning skills,भविष्यवेध कौशल्य,Goal Orientedness
Consistency/Persistence,सातत्य,Goal Orientedness
Concern,आस्था,Goal Orientedness
Social orientation,समाजाभिमुखता,Goal Orientedness
Competitive spirit/Will to win,विजिगीषा,Goal Orientedness
Self-reflection,आत्मपरीक्षण,Self-reflection and Flexibility
Flexibility,लवचिकता,Self-reflection and Flexibility
Contemplation/Meditation,उपासना,Self-reflection and Flexibility
Adaptability,अनुकूलनवृत्ती,Self-reflection and Flexibility
Ability to separate 'self' from decisions,निर्णयांपासून 'स्व' वेगळा काढता येणे,Self-reflection and Flexibility
