sentence_text_en,source_file,notes,weakness_names
"If my friends are sitting in leisure, I take them with me to do some new job.",Problem33_Initiative_Plan (1).txt,Problem 33; Virtue: Initiative; 9 exposures (3 local/3 national/3 international); 9 resolutions; 6 challenges,Defeated mindset
I can easily elaborate about anything I did in last three months and reasons thereof.,Problem33_Initiative_Plan_Statement2.txt,Problem 33; Virtue: Initiative; Statement 2; 3 exposures; 6 resolutions; 1 challenge (90-day Retrospective Embargo),Defeated mindset
I don't wait for someone to assign me me some tasks.,Problem33_Initiative_Plan_Statement3.txt,Problem 33; Virtue: Initiative; Statement 3; 3 exposures; 6 resolutions; 1 challenge (90-Day Zero-Wait Protocol),Defeated mindset
I contemplate and contextualize my place in the order of the world and try to accept all others' place in my life too.,Upasana_Contemplation_Plan.txt,Problem 35; Virtue: Upasana; Weakness: Little Self-Reflection; 3 exposures; 6 resolutions; 1 challenge (90-Day Concentric Circles Map),Little self-reflection
"I set aside dedicated time daily for practices like meditation, prayer, or self-reflection",Upasana_Development_Plan.txt,Problem 35; Virtue: Upasana; Weakness: Little Self-Reflection; 3 exposures; 6 resolutions; 1 challenge (75-Day Upasana Institution),Little self-reflection
"At the end of the day, I reflect on my actions and their outcomes to understand and improve myself",Upasana_EveningReflection_Plan.txt,Problem 35; Virtue: Upasana; Weakness: Little Self-Reflection; 3 exposures; 6 resolutions; 1 challenge (60-Day Behavioral Verdict Ledger),Little self-reflection
"I consciously practice gratitude, focusing on the positive aspects of your life.",Upasana_Gratitude_Plan.txt,Problem 35; Virtue: Upasana; Weakness: Little Self-Reflection; 3 exposures; 6 resolutions; 1 challenge (75-Day Gratitude Evidence Archive),Little self-reflection
I can complete a task without making any mess of it by exercising a great restraint to not rush the completion of the task.,Virtue-Resoluteness.txt,Virtue: Resoluteness; Problem Statement 1 of 6 in combined document,Defeated mindset
"I can complete my work by finding appropriate alternatives for tools, people, and methods, and by getting the cooperation as I need.",Virtue-Resoluteness.txt,Virtue: Resoluteness; Problem Statement 2 of 6 in combined document,Defeated mindset
"I can maintain the intensity with which I resolve something, till the goal is achieved.",Virtue-Resoluteness.txt,Virtue: Resoluteness; Problem Statement 3 of 6 in combined document,Defeated mindset
"I have a well-defined daily routine, and I follow it to carry out my work.",Virtue-Resoluteness.txt,Virtue: Resoluteness; Problem Statement 4 of 6 in combined document,Defeated mindset
I can move forward with confidence in my own abilities.,Virtue-Resoluteness.txt,Virtue: Resoluteness; Problem Statement 5 of 6 in combined document,Defeated mindset
I always complete the work I undertake.,Virtue-Resoluteness.txt,Virtue: Resoluteness; Problem Statement 6 of 6 in combined document,Defeated mindset
"Even when many people oppose my opinions, I stand by my opinions and ensure that what is pre-determined happens.",Problem33_Conviction_Colourful.txt,Problem 33; Virtue: Conviction; 3 local exposures + 2 national + 1 international; 6 resolutions; 1 challenge (90-Day Public Conviction Ledger),Defeated mindset
"Once something is achieved, I have a desire to make it happen repeatedly and on a larger scale.",Problem33_ConqueringMindset_COLORFUL.txt,Problem 33; Virtue: Conquering Mindset; 9 exposures; 9 resolutions; 1 challenge (90-Day Conquest Cascade),Defeated mindset
My thinking is strictly positive.,4-No-clarity.txt,Virtue: Self-dependence in Thought; Weakness 4: No clarity; 3 exposures; 5 resolutions; 1 challenge (10 days),No clarity
I can talk in front of any (small / big) group of people,VIRTUE-1-COMMUNICATION-SKILLS (1).txt,Virtue 1: Communication Skills; slides 1-5 of combined document,Bad communication
"When friends, relatives, or acquaintances face a problem, first thing that comes to my mind is about the ways in which I can help them.",VIRTUE-1-COMMUNICATION-SKILLS (1).txt,Virtue 2: Concern; slides 6-8 of combined document,Less sensitivity / empathy
"I can present my point publicly in front of everyone, whether they are small or big personalities.",VIRTUE-1-COMMUNICATION-SKILLS (1).txt,Virtue 3: Self-Respect (Self-dependence on Thoughts); slides 9-10 of combined document,Lack of self-respect
"Regardless of how much people try to convince me otherwise or oppose my work, I can fearlessly carry out what I have decided.",Cultivating-Unshakeable-Steadfastness-and-Self-Reflection.txt,Tendency 1: Avoid conflict; Virtue: Steadfastness; 3 exposures; 6 resolutions; 1 challenge within combined document,Tendency to avoid conflict
"I ask for feedback on my actions, work, or behavior",Cultivating-Unshakeable-Steadfastness-and-Self-Reflection.txt,Tendency 2: Imbalance in employing strengths; Virtue: Self-reflection; 3 exposures; 6 resolutions; 1 challenge (90-Day Invisible Mastery Project) within combined document,Imbalance in employing strengths
I can easily elaborate about anything I did in last three months and reasons thereof.,Cultivating-Unshakeable-Steadfastness-and-Self-Reflection.txt,Tendency 3: Defeated mindset; Virtue: Initiative; 3 exposures; 6 resolutions; 1 challenge (90-Day Triple-Stack Initiative Marathon) within combined document,Defeated mindset
"I ask for feedback on my actions, work, or behavior",STEADFASTNESS-FRAMEWORK (1).txt,Virtue: Self-reflection; standalone document with 3 exposures; 6 resolutions; 1 challenge (90-Day Invisible Mastery Project),Imbalance in employing strengths
