weakness_name_en,subvirtue_name_en,priority
Just pretense - no real deal / show off,Goal orientation,1
Just pretense - no real deal / show off,Concern,2
Just pretense - no real deal / show off,Future planning skills,3
Just pretense - no real deal / show off,Self-reflection,4
Just pretense - no real deal / show off,Attitude of finding root causes,5
Bad communication,Communication skills,1
Bad communication,Concern,2
Bad communication,Organization orientation,3
Inability in prioritization,Ability to separate 'self' from decisions,1
Inability in prioritization,Creativity,2
Inability in prioritization,Multi-tasking ability,3
Inability in prioritization,Planning skills,4
Inability in prioritization,Execution skills,5
Unwillingness and inability to scale up,Ambition/Grandeur,1
Unwillingness and inability to scale up,Innovation,2
Unwillingness and inability to scale up,Resourcefulness,3
No clarity,Intellectual Self-reliance,1
No clarity,Skills-based Self-reliance,2
Lack of adaptability,Adaptability,1
Lack of adaptability,Ambition/Grandeur,2
Lack of adaptability,Resourcefulness,3
Lack of adaptability,Multi-tasking ability,4
Lack of adaptability,Creativity,5
Lack of adaptability,Innovation,6
Lack of adaptability,Consistency/Persistence,7
Continuous wrong estimation of the self,Adaptability,1
Continuous wrong estimation of the self,Ambition/Grandeur,2
Continuous wrong estimation of the self,Resourcefulness,3
Continuous wrong estimation of the self,Multi-tasking ability,4
Continuous wrong estimation of the self,Creativity,5
Continuous wrong estimation of the self,Innovation,6
Continuous wrong estimation of the self,Consistency/Persistence,7
Isolationist behavior,Communication skills,1
Isolationist behavior,Team building skills,2
Isolationist behavior,Organization orientation,3
Isolationist behavior,Emotional Self-reliance,4
Inability to differentiate immediate goals from intermediate goals - giving more importance to short-term gains than long-term consequences,Goal orientation,1
Inability to differentiate immediate goals from intermediate goals - giving more importance to short-term gains than long-term consequences,Adaptability,2
Inability to differentiate immediate goals from intermediate goals - giving more importance to short-term gains than long-term consequences,Intellectual Self-reliance,3
Inability to differentiate immediate goals from intermediate goals - giving more importance to short-term gains than long-term consequences,Future planning skills,4
Inability to differentiate immediate goals from intermediate goals - giving more importance to short-term gains than long-term consequences,Planning skills,5
Inability to differentiate immediate goals from intermediate goals - giving more importance to short-term gains than long-term consequences,Execution skills,6
Lack of self-respect,Intolerance of injustice,1
Lack of self-respect,Intellectual Self-reliance,2
Lack of self-respect,Ability to separate 'self' from decisions,3
Lack of self-respect,Emotional Self-reliance,4
Unable to follow somebody,Organization orientation,1
Unable to follow somebody,Adaptability,2
Unable to follow somebody,Intellectual Self-reliance,3
Unable to follow somebody,Emotional Self-reliance,4
Unable to follow somebody,Concern,5
Less sensitivity / empathy,Emotional Self-reliance,1
Less sensitivity / empathy,Concern,2
Less sensitivity / empathy,Intolerance of injustice,3
Less sensitivity / empathy,Team building skills,4
Little continuity in efforts,Consistency/Persistence,1
Little continuity in efforts,Goal orientation,2
Little continuity in efforts,Future planning skills,3
Minimal multi-tasking,Multi-tasking ability,1
Minimal multi-tasking,Ability to separate 'self' from decisions,2
Over laziness,Intolerance of injustice,1
Over laziness,Protecting social welfare,2
Over laziness,Determination,3
Over laziness,Goal orientation,4
Over laziness,Multi-tasking ability,5
Over laziness,Resourcefulness,6
Over laziness,Responsibility and Ownership,7
Little confidence,Goal orientation,1
Little confidence,Competitive spirit/Will to win,2
Little confidence,Planning skills,3
Little confidence,Execution skills,4
Little confidence,Resourcefulness,5
Little confidence,Spontaneity/Initiative,6
Little confidence,Creativity,7
Little confidence,Multi-tasking ability,8
Over-dependence,Skills-based Self-reliance,1
Over-dependence,Emotional Self-reliance,2
Over-dependence,Intellectual Self-reliance,3
Over-dependence,Financial Self-reliance,4
Over-dependence,Physical Self-reliance,5
Fear of failure,Competitive spirit/Will to win,1
Fear of failure,Ambition/Grandeur,2
Fear of failure,Goal orientation,3
Fear of failure,Emotional Self-reliance,4
Fear of failure,Resourcefulness,5
Inability to say and/or accept “No”,Self-reflection,1
Inability to say and/or accept “No”,Contemplation/Meditation,2
Inability to say and/or accept “No”,Adaptability,3
Inability to say and/or accept “No”,Emotional Self-reliance,4
Inability to say and/or accept “No”,Planning skills,5
Inability to say and/or accept “No”,Execution skills,6
Inability to say and/or accept “No”,Creativity,7
Being too transactional,Emotional Self-reliance,1
Being too transactional,Resourcefulness,2
Being too transactional,Protecting social welfare,3
Being too transactional,Responsibility and Ownership,4
Being too transactional,Financial Self-reliance,5
Being too transactional,Adaptability,6
Insecurity,Goal orientation,1
Insecurity,Planning skills,2
Insecurity,Execution skills,3
Insecurity,Future planning skills,4
Insecurity,Emotional Self-reliance,5
Insecurity,Determination,6
Insecurity,Concern,7
Insecurity,Ability to separate 'self' from decisions,8
Insecurity,Adaptability,9
Insecurity,Responsibility and Ownership,10
Insecurity,Communication skills,11
Not being aware of social debt,Social orientation,1
Not being aware of social debt,Concern,2
Not being aware of social debt,Protecting social welfare,3
Not being aware of social debt,Responsibility and Ownership,4
Comforting in continuation of old,Innovation,1
Comforting in continuation of old,Spontaneity/Initiative,2
Comforting in continuation of old,Ambition/Grandeur,3
Comforting in continuation of old,Adaptability,4
Ineffectiveness,Determination,1
Ineffectiveness,Resourcefulness,2
Ineffectiveness,Spontaneity/Initiative,3
Ineffectiveness,Planning skills,4
Ineffectiveness,Execution skills,5
Ineffectiveness,Competitive spirit/Will to win,6
Less sustenance of enthusiasm,Creativity,1
Less sustenance of enthusiasm,Spontaneity/Initiative,2
Less sustenance of enthusiasm,Responsibility and Ownership,3
Patchy emotion-management,Emotional Self-reliance,1
Impatience,Composure during execution,1
Impatience,Responsibility and Ownership,2
Impatience,Intellectual Self-reliance,3
Impatience,Planning skills,4
Impatience,Execution skills,5
Impatience,Adaptability,6
Impatience,Emotional Self-reliance,7
Tendency to avoid conflict,Intolerance of injustice,1
Tendency to avoid conflict,Competitive spirit/Will to win,2
Tendency to avoid conflict,Ambition/Grandeur,3
Tendency to avoid conflict,Protecting social welfare,4
Tendency to avoid conflict,Determination,5
Tendency to avoid conflict,Concern,6
Self-centredness,Concern,1
Self-centredness,Social orientation,2
Self-centredness,Organization orientation,3
Self-centredness,Intellectual Self-reliance,4
Self-centredness,Emotional Self-reliance,5
Inability to differentiate between weakness of a person and the person herself,Organization orientation,1
Inability to differentiate between weakness of a person and the person herself,Communication skills,2
Inability to differentiate between weakness of a person and the person herself,Intellectual Self-reliance,3
Imbalance in employing strengths,Multi-tasking ability,1
Imbalance in employing strengths,Emotional Self-reliance,2
Imbalance in employing strengths,Composure during execution,3
Imbalance in employing strengths,Self-reflection,4
Imbalance in employing strengths,Contemplation/Meditation,5
Imbalance in employing strengths,Planning skills,6
Imbalance in employing strengths,Execution skills,7
